escenario,horizon,adjusted,diff_pp,se_pp,t,p,n_buys,n_sales
S1,252,False,-0.3213839987363379,0.2845309773968481,-1.129522000299072,0.2586776941397826,26489,26545
S1,252,True,-0.3095301159225166,0.2699302724898706,-1.146703973094133,0.2515039878647174,26489,26545
S2,252,False,-0.13925259916288288,0.2333544726044748,-0.5967427905224242,0.5506791188985849,26136,26185
S2,252,True,-0.11747218691944053,0.25134288908726155,-0.46737819934367186,0.640229317164984,26136,26185
S3,252,False,0.41178061804309646,0.6649407869003223,0.61927411606475,0.5357357931485351,23002,23049
S3,252,True,0.3835970838551548,0.605971535659333,0.6330282220893071,0.5267152133460524,23002,23049
S4,252,False,-0.41682544606931665,0.21722727794546334,-1.9188448615277682,0.05500397044609113,49850,50040
S4,252,True,-0.4144422813465085,0.21325790424499388,-1.9433853240459074,0.05196961913983783,49850,50040
S5,252,False,0.020160731977006137,0.1094871280749443,0.18413791951147032,0.8539052595903993,86381,86952
S5,252,True,0.026330949977283122,0.09729327048654249,0.27063485321860153,0.7866718868362844,86381,86952
S6,252,False,0.5178402099560828,0.4858271233981558,1.0658939878325626,0.2864715670854773,68063,68436
S6,252,True,0.44742304071976136,0.4763581226656201,0.9392577126974493,0.3475984442782455,68063,68436
S7,252,False,2.1764815501196297,0.9031761007739175,2.4098086167854054,0.015960890631613333,63315,64651
S7,252,True,1.8563159307988506,0.909414277594877,2.041221450479356,0.04122882052401408,63315,64651
S8,252,False,0.5337967524240277,0.339095603930472,1.5741777429042612,0.11544636337780874,43338,43497
S8,252,True,0.5026440932630157,0.3206943613623696,1.5673618055761556,0.11703014630086397,43338,43497
todos,252,False,0.45578488987231225,0.3332947838057845,1.367512820536383,0.1714646215325879,386574,389355
todos,252,True,0.38916198512818323,0.321865144153379,1.209083966366781,0.226630588421748,386574,389355
