Esc.,predicción,acierto
S1,diff_ci_contains_0,True
S1,b_gross_ci_contains_0,False
S1,iv_gross_ci_contains_0,True
S2,diff_positive_sig,True
S2,diff_in 0.02 0.04,True
S2,ratio_in 1.5 2.2,True
S2,b_gross_positive,True
S2,iv_gross_ci_contains_0,True
S3,diff_positive_sig,True
S3,diff_in 0.07 0.13,True
S3,ratio_in 5.0 11.0,True
S3,b_gross_positive_sig,True
S3,b_net_not_negative_sig,True
S3,iv_gross_ci_contains_0,True
S3,diff_greater_than S2,True
S4,diff_ci_contains_0,False
S4,b_gross_ci_contains_0,True
S4,b_net_negative_sig,True
S4,b_net_minus_gross_in -1.8 -0.7,True
S5,diff_ci_contains_0,True
S5,b_gross_ci_contains_0,True
S5,b_net_negative_sig,True
S5,b_net_minus_gross_in -1.8 -0.7,True
S5,b_net_within_2se_of S4,True
S6,diff_positive_sig,True
S6,diff_less_than S3,False
S6,ratio_at_least S3,False
S6,b_gross_positive,True
S6,b_gross_less_than S3,True
S6,iv_gross_ci_contains_0,True
S7,diff_positive_sig,True
S7,ratio_in 2.0 5.0,False
S7,fractional_diff_reduction_at_least 0.4,True
S7,b_gross_positive,True
S8,diff_positive_sig,True
S8,diff_in 0.015 0.05,True
S8,ratio_in 1.3 3.0,True
S8,b_gross_positive,True
